type	latitude	longitude	altitude (m)	name
T	40.636000000	-79.111000000	430.7	
T	29.935000000	-95.640000000	41.2	
T	38.526000000	-77.860000000	91.6	
T	36.038000000	-95.986000000	189.1	
T	57.997000000	-154.996000000	0.0	
T	43.834000000	-111.805000000	1481.0	
T	39.787000000	-77.369000000	183.3	
T	35.550000000	-87.207000000	198.1	
T	44.666000000	-83.307000000	209.4	
T	40.618000000	-96.926000000	454.2	
T	36.029000000	-119.063000000	133.4	
T	62.096000000	-148.212000000	774.5	
T	31.881000000	-106.703000000	1253.0	
T	39.756000000	-82.657000000	259.1	
T	39.931000000	-84.026000000	266.4	
T	45.902000000	-84.707000000	177.0	
T	35.137000000	-118.444000000	1208.4	
T	42.597000000	-87.929000000	220.7	
T	34.670000000	-112.406000000	1496.7	
T	40.578000000	-122.410000000	211.8	
T	30.541000000	-92.204000000	17.6	
T	37.979000000	-98.105000000	496.2	
T	41.738000000	-72.649000000	4.8	
T	38.837000000	-92.000000000	267.1	
T	39.144000000	-78.144000000	217.5	
T	42.022000000	-70.837000000	18.7	
T	39.675000000	-85.322000000	316.4	
T	37.501000000	-77.126000000	30.8	
T	46.165000000	-103.301000000	896.4	
T	40.300000000	-83.000000000	288.2	
T	41.036000000	-75.161000000	145.2	
T	29.124000000	-81.888000000	31.7	
T	36.626000000	-93.229000000	285.1	
T	44.288000000	-120.905000000	988.6	
T	44.790000000	-71.826000000	360.5	
T	32.609000000	-82.370000000	97.5	
T	43.884000000	-72.252000000	210.5	
T	30.593000000	-84.549000000	47.3	
T	42.022000000	-70.835000000	18.1	
T	39.567000000	-76.202000000	120.3	
T	38.962000000	-104.575000000	2104.3	
T	44.759000000	-69.370000000	51.2	
T	39.576000000	-95.181000000	304.8	
T	32.439000000	-93.814000000	63.7	
T	47.994000000	-97.072000000	252.0	
T	21.578000000	-158.182000000	1.0	
T	44.472000000	-73.153000000	100.7	
T	62.798000000	-152.931000000	565.8	
T	44.533000000	-116.061000000	1514.3	
T	29.672000000	-95.070000000	7.2	
T	32.444000000	-97.817000000	235.1	
T	46.104000000	-122.898000000	4.0	
T	44.991000000	-114.748000000	1372.1	
T	61.790000000	-156.588000000	76.0	
T	39.615000000	-77.048000000	217.0	
T	41.843000000	-85.119000000	291.1	
T	61.533000000	-150.102000000	68.5	
T	40.494000000	-101.043000000	928.0	
T	26.647000000	-80.295000000	4.2	
T	38.973000000	-104.820000000	1992.2	
T	33.148000000	-97.490000000	268.4	
T	60.589000000	-152.162000000	8.5	
T	32.632000000	-108.154000000	1638.9	
T	27.182000000	-80.221000000	4.2	
T	43.951000000	-95.378000000	441.5	
T	43.415000000	-116.698000000	684.6	
T	44.356000000	-88.060000000	236.4	
T	44.016000000	-97.086000000	521.3	
T	42.770000000	-111.310000000	2295.7	
T	29.505000000	-95.175000000	7.1	
T	34.296000000	-118.469000000	349.4	
T	63.700000000	-147.126000000	1225.2	
T	68.294000000	-156.379000000	513.2	
T	42.492000000	-88.984000000	241.5	
T	37.035000000	-113.506000000	872.4	
T	44.813000000	-117.794000000	1031.8	
T	47.485000000	-111.360000000	1117.5	
T	39.505000000	-84.122000000	281.6	
T	61.761000000	-147.081000000	727.0	
T	36.742000000	-104.502000000	1932.9	
T	28.342000000	-80.687000000	1.4	
T	40.429000000	-104.632000000	1416.4	
T	28.867000000	-82.575000000	2.2	
T	38.704000000	-93.228000000	278.4	
T	36.879000000	-91.905000000	372.1	
T	33.696000000	-117.884000000	10.4	
T	38.198000000	-102.775000000	1183.3	
T	42.272000000	-77.685000000	623.7	
T	35.438000000	-94.803000000	156.5	
T	39.943000000	-74.846000000	12.8	
T	41.993000000	-86.128000000	224.9	
T	30.374000000	-87.726000000	17.9	
T	41.290000000	-86.631000000	216.1	
T	34.848000000	-82.350000000	309.2	
T	32.897000000	-97.038000000	176.2	
T	48.491000000	-122.942000000	35.1	
T	46.814000000	-94.409000000	398.8	
T	45.132000000	-115.321000000	1736.3	
T	65.607000000	-146.779000000	1202.9	
T	34.226000000	-77.945000000	12.9	
T	29.250000000	-107.409000000	1839.8	
T	33.033000000	-90.623000000	32.0	
T	40.706000000	-76.374000000	520.2	
T	45.000000000	-69.000000000	92.5	
T	46.382000000	-94.119000000	369.5	
T	41.275000000	-111.035000000	2169.3	
T	32.699000000	-97.047000000	178.3	
T	45.482000000	-85.781000000	193.7	
T	45.482000000	-85.781000000	193.7	
T	40.329000000	-82.526000000	361.7	
T	32.826000000	-116.972000000	113.4	
T	35.095000000	-106.163000000	1994.3	
T	41.027000000	-81.799000000	369.1	
T	45.882000000	-95.450000000	427.3	
T	33.221000000	-92.812000000	77.1	
T	41.667000000	-81.197000000	302.6	
T	30.056000000	-95.552000000	44.1	
T	38.653000000	-122.899000000	76.3	
T	36.773000000	-77.794000000	98.2	
T	30.224000000	-93.000000000	6.9	
T	35.160000000	-80.721000000	208.7	
T	30.779000000	-86.522000000	50.4	
T	29.656000000	-81.689000000	10.6	
T	28.777000000	-81.235000000	13.5	
T	33.939000000	-81.119000000	66.6	
T	61.630000000	-149.682000000	113.7	
T	35.485000000	-81.166000000	267.4	
T	36.199000000	-95.884000000	197.8	
T	28.985000000	-95.539000000	6.3	
T	47.482000000	-111.357000000	1119.6	
T	38.941000000	-104.569000000	2073.8	
T	43.302000000	-95.062000000	439.7	
T	30.737000000	-98.239000000	384.3	
T	47.907000000	-122.282000000	180.3	
T	45.672000000	-121.531000000	182.3	
T	43.761000000	-87.835000000	224.9	
T	36.601000000	-89.992000000	89.6	
T	30.546000000	-91.165000000	20.4	
T	42.701000000	-74.074000000	290.4	
T	45.777000000	-111.150000000	1357.6	
T	42.928000000	-89.418000000	299.6	
T	32.540000000	-93.745000000	52.4	
T	34.714000000	-85.681000000	461.9	
T	39.302000000	-120.125000000	1781.3	
