Latitude,Longitude,altitude (m),Injury.Severity,Aircraft.Damage,Aircraft.Category,Make,Model,Number.of.Engines,Engine.Type,FAR.Description,Purpose.of.Flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.Phase.of.Flight,Amateur.Built,Total.Passengers
44.422,-87.936,246.6,FATAL,SUBSTANTIAL,AIRPLANE,AERONCA,7AC,1,RECIPROCATING,PART 91: GENERAL AVIATION,PERSONAL,2,0,0,0,VMC,LANDING,NO,2
40.335,-119.908,1334.3,NON-FATAL,SUBSTANTIAL,AIRPLANE,PIPER,PA18,1,RECIPROCATING,PART 91: GENERAL AVIATION,PERSONAL,0,0,0,1,VMC,LANDING,NO,1
38.228,-85.665,165.3,NON-FATAL,SUBSTANTIAL,AIRPLANE,CESSNA,172,1,RECIPROCATING,PART 91: GENERAL AVIATION,INSTRUCTIONAL,0,0,0,1,VMC,LANDING,NO,1
38.943,-104.57,2076.3,NON-FATAL,SUBSTANTIAL,AIRPLANE,PIPER,PA38,1,RECIPROCATING,PART 91: GENERAL AVIATION,PERSONAL,0,0,0,2,VMC,TAKEOFF,NO,2
31.477,-82.861,77.5,NON-FATAL,SUBSTANTIAL,AIRPLANE,BEECH,36,1,TURBO PROP,PART 91: GENERAL AVIATION,PERSONAL,0,0,0,1,VMC,LANDING,NO,1
35.272,-79.254,78.4,FATAL,SUBSTANTIAL,AIRPLANE,VANS,RV4,1,RECIPROCATING,PART 91: GENERAL AVIATION,PERSONAL,1,0,0,0,VMC,APPROACH,NO,1
37.692,-97.544,431.9,NON-FATAL,SUBSTANTIAL,AIRPLANE,TAYLORCRAFT,BC12,1,RECIPROCATING,PART 91: GENERAL AVIATION,PERSONAL,0,0,0,2,VMC,TAKEOFF,NO,2
61.45,-148.683,35.2,NON-FATAL,SUBSTANTIAL,AIRPLANE,CESSNA,172,1,RECIPROCATING,PART 91: GENERAL AVIATION,PERSONAL,0,0,0,1,VMC,CRUISE,NO,1
44.674,-111.424,1983.1,NON-FATAL,SUBSTANTIAL,AIRPLANE,CHAMPION,8GCBC,1,RECIPROCATING,PART 91: GENERAL AVIATION,PERSONAL,0,0,0,2,VMC,LANDING,NO,2
35.202,-81.15,242.1,NON-FATAL,SUBSTANTIAL,AIRPLANE,ZENITH,ZENITH 601XLB,1,RECIPROCATING,PART 91: GENERAL AVIATION,PERSONAL,0,0,1,0,VMC,TAKEOFF,NO,1
42.117,-76.918,268.6,NON-FATAL,SUBSTANTIAL,AIRPLANE,PIPER,PA18,1,RECIPROCATING,PART 91: GENERAL AVIATION,FERRY,0,0,0,1,VMC,TAKEOFF,NO,1
39.499,-118.749,1206.5,NON-FATAL,SUBSTANTIAL,AIRPLANE,CESSNA,150,1,RECIPROCATING,PART 91: GENERAL AVIATION,PERSONAL,0,0,0,2,VMC,LANDING,NO,2
56.939,-154.182,15.7,NON-FATAL,SUBSTANTIAL,AIRPLANE,DE HAVILLAND,BEAVER DHC 2,1,RECIPROCATING,PART 91: GENERAL AVIATION,POSITIONING,0,0,0,1,VMC,LANDING,NO,1
